Gene symbol,Uniprot Identifier,Ctrl1,Ctrl2,Ctrl3,Ctrl4,Ctrl5,Ctrl6,HF1,HF2,HF3,HF4,HF5,HF6,HF7,HF8,HF9
HEXA,P06865,1.2303610308689557,1.1426738844169755,1.3712597874447,0.9278736433265777,1.4272684419168158,0.7534005614456838,1.3122358181872933,1.1674369169128411,1.124878427536217,1.0858505028570207,1.3319312227851192,1.099695411639562,1.0607872248271164,0.9523559155793109,0.4260220653198843
HEXB,P07686,3.172218436592633,3.5867712814299395,3.448327053442309,3.1398633725799456,3.5157753875536386,3.131595662762585,3.6830191836951904,3.57397703686825,2.9746786129302443,3.1909199103674766,3.379433899166088,3.394771980182888,3.0279300531430238,3.3964926718346575,3.125025831321711
HEXIM1,O94992,-2.547713760426479,-2.30409606898564,-2.5335447156734503,-2.450047638990302,-2.4000615748509517,-2.37373626224171,-2.5008674351172218,-2.5227341954713296,-2.53562816593924,-2.4178875845803063,-2.6128023617223874,-2.6200228359024997,-2.582133315439261,-2.3695679238847625,-2.585188871004746
HGFAC,Q04756,-2.070286797485796,-1.5543238888977982,-1.699470628998025,-2.066536130516713,-2.0692875772213384,-1.494009438524273,-0.7677995748917965,-1.4416782546724285,-0.8445714768716108,-1.4114855384370024,-1.770630157957772,-0.7166394747059641,-0.39302213406984166,-0.96588827101262,-1.1048206792967719
HGH1,Q9BTY7,-0.82396932788334,-0.5617628062456426,-0.3991616147960002,-0.9748965868919832,-0.5473406003995684,-0.5585661552358268,-0.8537546064513144,-0.46651010259704506,-0.7041426578361758,-0.8896649217731891,-0.8704456580736739,-0.599859318366935,-0.8675270380296674,-0.2921945731950508,-0.8547444809841629
HGS,O14964,1.9925031160828333,1.9016992590009956,1.873442527904789,2.145662959206426,2.0117007271351106,2.113935128687867,2.0137681924388886,2.0433509959027703,1.7984753610813655,2.001268377992176,1.862347488472249,2.006748386406926,1.840670636807122,2.030891837213897,1.9014490604469785
HGSNAT,Q68CP4,-3.0895112393633113,-2.7696731255798532,-3.0812376639894197,-2.939243885035239,-2.887708778040352,-3.152288375495665,-2.7402661473635774,-2.89320380016197,-2.655746706081551,-2.872194240015194,-2.8956250057102224,-2.5702841595711376,-2.9270644043362672,-3.068443733674343,-2.720587680061474
HHATL,Q9HCP6,2.2739466382742535,2.3622444834314464,2.537521692809438,2.0140862792700815,2.2169496537641002,2.4566150843168266,2.2316429110833873,2.240225936728102,2.533737086532497,2.415109813393002,2.214922890905889,2.3473827195111348,2.3792762090599098,2.2854228106644534,2.6260825273419783
HIBADH,P31937,3.5693494350224384,3.640706695783276,3.7651413694977833,3.711608916771169,3.883378573564208,3.9115367966707986,3.3146509815150687,3.710575975036896,3.5748490584709423,3.6192000937290665,3.659928644999738,3.3756523775550384,3.4528976951877723,3.6504050447215093,3.644682698837869
HIBCH,Q6NVY1,4.703346335929734,3.929836988399366,5.047174642917241,4.388550261909433,5.021527227134662,4.101417764970829,4.51020554164295,4.756487647449962,4.332153110195232,4.8968207377208905,4.466047684948364,4.306428041232497,4.1508268835344495,4.178179865037805,4.7246510252794
HID1,Q8IV36,-3.1875957695423995,-3.006153604450775,-3.1867163575426467,-3.591197963094448,-3.343586076629368,-3.268761024217378,-3.428613104367617,-3.221851329430411,-3.1237183860732642,-3.3395412123286725,-3.405335211947376,-3.7817803728790125,-3.503961482471613,-3.3320379370475504,-3.198541183507592
HIF1AN,Q9NWT6,-0.1887183604731817,-0.26002235989025735,-0.3679646640340799,-0.02836396366071625,-0.40288666304982,-0.48572116212860905,-0.15126678852373487,-0.09302561044342283,-0.42280064646381277,-0.2547445462083324,-0.23811128211401922,-0.4016720019204101,-0.2199555290811226,-0.19567189400942198,-0.24068938457231326
HIGD1A,Q9Y241,1.1664489510739422,1.1432909430710154,1.2145286302321487,1.074070144442853,1.104011600163755,0.6945089629509873,0.7588491671385356,1.0473961408518662,1.2697877698387998,0.8196626514482332,1.147052059629189,1.034930018909769,0.7823224527333501,0.6767345319109666,1.3565217176507751
HIGD2A,Q9BW72,-2.321871153766388,-2.286877688410737,-2.137761271855247,-2.025330473527344,-1.840575334966939,-2.5182323557059902,-2.4737970331257593,-2.2824135328104305,-2.209482785264317,-2.584615452047526,-1.8884232906388334,-2.2546134240497615,-1.9990509602080024,-2.741364796871391,-2.169864659195749
HIKESHI,Q53FT3,0.1269857206156999,-0.12956946297729743,0.41985623574847253,-0.32301198141980336,0.11371184307576598,-0.25692801141351396,-0.16570601644691507,-0.441195242183948,-0.020040477144895874,0.1088005667913734,-0.06211790840860232,-0.29639834545526256,-0.09424366655069605,-0.16355076024831305,0.01762213828032344
HINT1,P49773,3.861896764837592,3.883784705913012,4.0428726876398535,3.8140515414882117,3.87666001662215,4.122598207829249,3.655715084276693,3.973612930616639,3.973836722691779,3.7310335062369724,3.7058577271207582,3.666845827701362,3.51019518079627,3.84248553399922,3.7618522893033983
HINT2,Q9BX68,3.714196793002312,3.9031241970151775,3.958211163934454,3.739675787954937,3.799682727223793,4.0587278851958715,3.420995421335597,3.9359407963014448,3.7591878418362263,3.568380203933451,3.3948127592543074,3.264998039033447,3.2919800348332373,3.5230017430569767,3.6747369499959994
HINT3,Q9NQE9,0.705417234775517,0.7006520707993005,0.6021712868077245,0.37576628827417125,0.7227406991140697,0.6428735203421674,0.3050422802785526,0.6620011114105679,0.594916686734507,0.4954034145131594,0.16930496887675872,0.40291803690566397,0.3295752654183488,0.5388714937927794,0.6983363119364725
HIP1,O00291,1.366537425288552,1.5101177973244866,1.4578857038132185,1.4118029245125463,1.4241991834147179,1.5807327552763049,1.6718022256872445,1.4800912032359363,1.6294837744264221,1.4534308268060911,1.4109107944789834,1.5490753853763692,1.5456802685675761,1.711343653359659,1.483812640217998
HIP1R,O75146,1.261053782723721,1.1383628130324865,1.1532266871761117,1.3134945820438055,1.1439997446749572,1.0619113570223284,0.6896327960684232,0.8697156438666802,1.0307407324776783,1.290427914909774,1.0809801577083782,0.987801227296945,0.5344928057743488,0.8140948006872293,1.0509408458076592
